UNIT_ID,UNIT_NAME,ITEM_ID,ITEM_NAME,CATEGORY_NAME,BRAND_NAME,BALANCE
4,SMF INDUSTRIES LTD # 02,9000072601,LIMIT SWITCH;LXW-AZ7311,ELECTRICAL,C-LIN,6
4,SMF INDUSTRIES LTD # 02,9000082893,MARKER;PERMANENT;BLACK,STATIONARY,PIANO,1100
5,N.H FOODS MULTAN,9000108883,SENSOR;OPTICAL FIBER;E32-DC 200,ELECTRICAL,OMRON,1
6,KIMS,9000109122,CONNECTOR;LINEUP;10MM,ELECTRICAL,YALISI,107
6,KIMS,9000117007,CAPACITOR;30-UF,ELECTRICAL,ROMANIA,12
4,SMF INDUSTRIES LTD # 02,9000032385,CHAIN LOCK;F/LINK;#50-II,MECHANICAL,,4
4,SMF INDUSTRIES LTD # 02,9000031810,CHAIN LOCK;F/LINK;#80-I,MECHANICAL,,8
4,SMF INDUSTRIES LTD # 02,9000088570,FUSE;CERAMIC;16-AMP,ELECTRICAL,,32
4,SMF INDUSTRIES LTD # 02,9000118761,HEATER;CARTRIDGE;8X65MM,ELECTRICAL,,18
5,N.H FOODS MULTAN,9000048128,BEARING;YAR 203-2F,BEARING,SKF,4
1,GIBS,9000050510,MODULE;FBS 4DA,ELECTRICAL,FATEK,3
6,KIMS,9000022432,COPPER SLEEVE 50MM,ELECTRICAL,GENERAL ITEMS,35
6,KIMS,9000084495,"COTTER;HSS;8""X3/4""",MECHANICAL,,2
6,KIMS,9000050487,MODULE;BASE,ELECTRICAL,GENERAL ITEMS,1
6,KIMS,9000058490,MOTOR;0.5-HP,ELECTRICAL,LOT,5
6,KIMS,9000058493,MOTOR;3-HP,ELECTRICAL,LOT,3
6,KIMS,9000058026,MOTOR;7.5-HP,ELECTRICAL,CHINA,2
4,SMF INDUSTRIES LTD # 02,9000063985,BELT;PLAIN;B 96,BELT,DONGAL,3
4,SMF INDUSTRIES LTD # 02,9000055586,BLADE;PAPER CUTTER;LARGE,STATIONARY,DARCO,56
6,KIMS,9000087024,"GAS REGULATOR;1/2"";LPG",MECHANICAL,FISHER,2
6,KIMS,9000083256,THREAD;REEL;#24,MECHANICAL,,10
6,KIMS,9000020370,TIMING BELT S8M 600 X 20MM,BELT,GENERAL ITEMS,32
4,SMF INDUSTRIES LTD # 02,9000106482,BEARING;LM30UU,BEARING,MYT,31
19,VISION LAHORE,9000102337,RING;8021C30-0775,ROLLAND PARTS,MAN ROLAND,12
19,VISION LAHORE,9000120582,ROLLER;TAPER;BSA1122005400,BOBST PARTS,BOBST,8
4,SMF INDUSTRIES LTD # 02,9000049623,BEARING;61808-2RS1,BEARING,SKF,11
4,SMF INDUSTRIES LTD # 02,9000063696,BELT;PLAIN;A 53,BELT,DONGAL,2
28,VISION HATTAR ( INDUS ),9000053449,"VALVE;BALL;S.S;1-1/2""",MECHANICAL,GENERAL ITEMS,2
28,VISION HATTAR ( INDUS ),9000051824,"AEROTAPE;EPDM;2""",ELECTRICAL,AEROFLEX,4
4,SMF INDUSTRIES LTD # 02,9000093727,BEARING;BRACKET;FL-001,BEARING,FKD,39
4,SMF INDUSTRIES LTD # 02,9000106238,BEARING;BUSH;H2309,BEARING,SKF,2
28,VISION HATTAR ( INDUS ),9000068163,"PIPE;WIRE SUCTION;1-1/2""",MECHANICAL,,27
28,VISION HATTAR ( INDUS ),9000063140,MIXER;BASIN S/LEVER;S.S,BUILDING MATERIAL (E&M),MASTER,5
28,VISION HATTAR ( INDUS ),9000056861,UNION;PPRC;32 MM,BUILDING MATERIAL (E&M),MASTER,19
28,VISION HATTAR ( INDUS ),9000058529,MOTOR;W/GEAR;1.5-HP,ELECTRICAL,LOT,1
19,VISION LAHORE,9000087742,PLUG;INDUSTRIAL;3 PIN;32A,ELECTRICAL,SARA,1
28,VISION HATTAR ( INDUS ),9000071344,BITUMEN;TAR COAL;DRUM,BUILDING MATERIAL (E&M),,5
28,VISION HATTAR ( INDUS ),9000086539,INSULATOR;CERAMIC;40MMX60MM,ELECTRICAL,,1
28,VISION HATTAR ( INDUS ),9000016422,KNIFE SLOTTING;FLEXO;4 COLOUR;HATTAR,MECHANICAL,,12
28,VISION HATTAR ( INDUS ),9000021673,WOODEN BOX,ELECTRICAL,GENERAL ITEMS,6
28,VISION HATTAR ( INDUS ),9000037982,WHEEL;GRINDING;SLITTER SCORRER,MECHANICAL,,35
28,VISION HATTAR ( INDUS ),9000032428,SCRAPER;PLASTIC,GENERAL,,3
19,VISION LAHORE,9000058779,BEARING;6205,BEARING,SKF,3
19,VISION LAHORE,9000102354,BELT;TOOTHED;80.94A40-9714,ROLLAND PARTS,MAN ROLAND,2
19,VISION LAHORE,9000088082,BOLT;NUT;M.S;16MMX60MM,MECHANICAL,,2
28,VISION HATTAR ( INDUS ),9000018870,BRACKET;BEARING;BK209,BEARING,SKF,2
19,VISION LAHORE,9000117577,NUT;HEX ZG;M4X 3.2;BSA831700004,BOBST PARTS,BOBST,20
19,VISION LAHORE,9000078020,OIL;GEAR;MEROPA-220,OIL & LUBRICANTS,CALTEX,780
4,SMF INDUSTRIES LTD # 02,9000096328,"WASHER;SILICON;2-1/2""",MECHANICAL,,48
40,SMF INDUSTRIES LTD,9000055525,STAPLE PIN;24/6,STATIONARY,DOLLAR,249
9,HINA PACKAGES MULTAN,9000053845,BOLT;L KEY;M.S;5MMX20MM,MECHANICAL,GENERAL ITEMS,77
28,VISION HATTAR ( INDUS ),9000091941,MOSE;SET;5MM;3PCS,TOOLS,CHINA,1
19,VISION LAHORE,9000051660,BULB;60 W;B22,ELECTRICAL,PHILIPS,1
28,VISION HATTAR ( INDUS ),9000050640,"JUNCTION BOX;2 WAY;PVC;1""",ELECTRICAL,POPULAR,24
28,VISION HATTAR ( INDUS ),9000023812,GI TEE 3/4 * 1'',MECHANICAL,GENERAL ITEMS,2
6,KIMS,9000053848,BOLT;L KEY;M.S;5MMX40MM,MECHANICAL,GENERAL ITEMS,80
6,KIMS,9000119609,"BOLT;M.S;1/4X2""",MECHANICAL,,871
6,KIMS,9000119646,AIR CONNECTOR;6MM,MECHANICAL,,55
28,VISION HATTAR ( INDUS ),9000071479,DRILL BIT;HSS;10.5MM,TOOLS,DORMER,3
19,VISION LAHORE,9000120566,WASHER;12.10/24X2;BSA1007020300,BOBST PARTS,BOBST,4
19,VISION LAHORE,9000112056,WIND SHIELD;PATCHING MACHINE,MECHANICAL,,1
19,VISION LAHORE,9000075611,AIR UNION;STRAIGHT;S.S;16MM,MECHANICAL,FESTO,10
19,VISION LAHORE,9000075594,AIR UNION;TEE;S.S;16MM,MECHANICAL,FESTO,10
6,KIMS,9000060242,RELAY;220V AC 8 PIN;ROUND,ELECTRICAL,OMRON,1
6,KIMS,9000115758,RING SET CHAKI#50,MECHANICAL,,5
19,VISION LAHORE,9000118156,DUCTOR;ROLLER;(71);D 70MM,ROLLAND PARTS,MAN ROLAND,2
19,VISION LAHORE,9000071893,"FILTER;CARTRIDGE;20""",MECHANICAL,,2
19,VISION LAHORE,9000099815,MARKER;PERMANENT;BLUE,STATIONARY,DOLLAR,5
6,KIMS,9000055875,BRUSH;CLEANING;COCONUT;1',GENERAL,GENERAL ITEMS,6
6,KIMS,9000020212,BELT B 86,BELT,GENERAL ITEMS,5
6,KIMS,9000020221,BELT B 95,BELT,GENERAL ITEMS,1
6,KIMS,9000016449,BELT C 77,BELT,,7
4,SMF INDUSTRIES LTD # 02,9000062167,BALL POINT,STATIONARY,CLIPPER,337
28,VISION HATTAR ( INDUS ),9000065061,DRILL BIT;M.S;14MM,TOOLS,DORMER,1
28,VISION HATTAR ( INDUS ),9000055672,HELMET;SAFETY;BIKE,SAFETY EQUIPMENT,LOCAL,3
19,VISION LAHORE,9000049671,BEARING;61908-2RS1,BEARING,SKF,8
6,KIMS,9000117221,LIMIT SWITCH;Z-15GW22-B,ELECTRICAL,OMRON,9
1,GIBS,9000052948,UNDER HEAD;M.S;10MMX12MM,MECHANICAL,GENERAL ITEMS,29
19,VISION LAHORE,9000056844,TEE;PPRC;MT;25X1/2'',BUILDING MATERIAL (E&M),MASTER,7
6,KIMS,9000030101,OIL SEAL;95X125X12,BEARING,LOCAL,8
6,KIMS,9000025368,OIL SEPERATOR DF 5004,MECHANICAL,GENERAL ITEMS,2
6,KIMS,9000071635,PAD;CASH PAYMENT VOUCHER D.R,STATIONARY,,61
6,KIMS,9000022599,BAAN,GENERAL,GENERAL ITEMS,6.81
6,KIMS,9000019999,BEARING 3305,BEARING,LOCAL,159
6,KIMS,9000046561,BEARING;22211 E/C3,BEARING,SKF,5
6,KIMS,9000047114,BEARING;6001-2Z/C3,BEARING,SKF,13
6,KIMS,9000045579,BEARING;607-2Z/C3,BEARING,SKF,17
19,VISION LAHORE,9000121740,DRIVE SUPPORT;80.02A15-A140,ROLLAND PARTS,MAN ROLAND,1
6,KIMS,9000020150,BELT B 24,BELT,GENERAL ITEMS,23
6,KIMS,9000020157,BELT B 31,BELT,GENERAL ITEMS,5
6,KIMS,9000020192,BELT B 66,BELT,GENERAL ITEMS,11
6,KIMS,9000122480,BOOK;RETURNED SLIP;BOOK,STATIONARY,,5
5,N.H FOODS MULTAN,9000024472,HYDRAULIC PIPE,MECHANICAL,GENERAL ITEMS,1
5,N.H FOODS MULTAN,9000019566,BEARING;30312,BEARING,LOCAL,4
9,HINA PACKAGES MULTAN,9000074732,PAD;TRANSFER SHEET,STATIONARY,,31
6,KIMS,9000060152,OIL SEAL;45X68X10,BEARING,LOCAL,21
6,KIMS,9000067530,OIL SEAL;60X110X12,BEARING,LOCAL,3
6,KIMS,9000060920,OIL SEAL;60X90X10,BEARING,SKF,5
6,KIMS,9000118776,HEATER;CARTRIDGE;12X75MM,ELECTRICAL,,13
6,KIMS,9000119930,BRACKET;BEARING;P-218,BEARING,SKF,2
6,KIMS,9000116756,BRACKET;P-207,BEARING,LOCAL,1
